datetime,close,high,low,open,volume,volume_buy,volume_sell
2023-08-16 07:00:00,1807.19,1830.87,1791.11,1828.27,1557481.275,756394.01,801087.2649999999
2023-08-17 07:00:00,1681.0,1809.66,1492.66,1807.19,5897283.822,2770969.223,3126314.5989999995
2023-08-18 07:00:00,1660.76,1698.98,1638.48,1681.0,2961785.532,1456021.279,1505764.253
2023-08-19 07:00:00,1668.69,1696.14,1653.36,1660.76,1374954.312,659459.536,715494.776
2023-08-20 07:00:00,1684.16,1694.36,1660.22,1668.7,1165848.58,569849.606,595998.974
2023-08-21 07:00:00,1666.79,1687.78,1647.22,1684.15,1716607.681,839563.063,877044.6180000001
2023-08-22 07:00:00,1634.5,1668.57,1575.0,1666.8,2628650.16,1282150.613,1346499.5470000003
2023-08-23 07:00:00,1678.8,1703.85,1628.5,1634.49,2809971.177,1426411.606,1383559.5710000002
2023-08-24 07:00:00,1660.22,1682.88,1631.66,1678.79,1739875.239,867292.244,872582.9950000001
2023-08-25 07:00:00,1653.24,1676.73,1634.43,1660.23,1842552.274,932169.939,910382.335
2023-08-26 07:00:00,1646.28,1654.77,1643.01,1653.25,499811.129,242895.732,256915.39700000003
2023-08-27 07:00:00,1657.59,1659.57,1645.38,1646.29,657340.273,334292.636,323047.63700000005
2023-08-28 07:00:00,1652.51,1663.88,1618.0,1657.59,1672402.974,843576.057,828826.9169999999
2023-08-29 07:00:00,1728.51,1747.15,1639.01,1652.5,3479356.341,1773847.706,1705508.635
2023-08-30 07:00:00,1704.39,1730.37,1688.0,1728.52,1539234.041,766589.73,772644.311
2023-08-31 07:00:00,1645.27,1730.0,1628.3,1704.39,2488894.539,1222124.399,1266770.14
2023-09-01 07:00:00,1628.19,1653.89,1601.22,1645.26,2089554.942,1032354.552,1057200.3900000001
2023-09-02 07:00:00,1636.24,1644.99,1627.05,1628.2,754625.922,368608.693,386017.229
2023-09-03 07:00:00,1635.02,1648.24,1623.93,1636.24,838943.974,428801.493,410142.481
2023-09-04 07:00:00,1630.09,1644.5,1614.76,1635.03,1087824.165,544060.418,543763.7470000001
2023-09-05 07:00:00,1633.63,1648.0,1608.45,1630.08,1444381.953,723388.438,720993.515
2023-09-06 07:00:00,1632.33,1680.0,1606.74,1633.63,1835281.753,925291.963,909989.79
2023-09-07 07:00:00,1647.27,1659.7,1622.61,1632.33,1570880.608,798238.114,772642.4940000001
2023-09-08 07:00:00,1635.78,1658.77,1615.0,1647.25,1482115.785,732024.197,750091.5879999999
2023-09-09 07:00:00,1634.8,1636.92,1629.0,1635.77,411166.927,205822.019,205344.90800000002
2023-09-10 07:00:00,1616.47,1635.05,1590.0,1634.81,1532646.839,742295.231,790351.6079999999
2023-09-11 07:00:00,1551.03,1618.35,1528.61,1616.46,3273332.648,1566573.982,1706758.666
2023-09-12 07:00:00,1592.29,1626.78,1548.7,1551.02,2987142.357,1526375.881,1460766.4759999998
2023-09-13 07:00:00,1606.68,1620.0,1580.46,1592.29,1869877.516,950149.896,919727.6200000001
2023-09-14 07:00:00,1625.65,1644.45,1606.02,1606.69,2118267.271,1080125.743,1038141.5280000002
2023-09-15 07:00:00,1640.67,1653.91,1610.0,1625.65,1426966.202,746173.973,680792.229
2023-09-16 07:00:00,1633.68,1652.97,1630.37,1640.66,778800.039,379181.772,399618.267
2023-09-17 07:00:00,1621.62,1634.43,1610.81,1633.68,946075.604,458286.181,487789.42300000007
2023-09-18 07:00:00,1635.63,1668.64,1598.58,1621.63,2369929.712,1187811.327,1182118.3849999998
2023-09-19 07:00:00,1642.49,1660.69,1625.02,1635.63,1776617.676,890576.185,886041.4909999999
2023-09-20 07:00:00,1621.6,1648.68,1602.0,1642.48,1872818.8,910689.54,962129.26
2023-09-21 07:00:00,1583.0,1624.81,1565.5,1621.6,2049732.627,966042.895,1083689.732
2023-09-22 07:00:00,1592.28,1602.28,1575.46,1583.0,1121431.042,558545.8,562885.2419999999
2023-09-23 07:00:00,1592.97,1597.6,1586.53,1592.28,512678.235,258382.402,254295.83299999998
2023-09-24 07:00:00,1579.99,1600.95,1568.28,1592.97,884404.712,439772.57,444632.14200000005
